	elf	EIN	tax_pd	subseccd	s501c3or4947a1cd	schdbind	politicalactvtscd	lbbyingactvtscd	subjto6033cd	dnradvisedfundscd	prptyintrcvdcd	maintwrkofartcd	crcounselingqstncd	hldassetsintermpermcd	rptlndbldgeqptcd	rptinvstothsecd	rptinvstprgrelcd	rptothasstcd	rptothliabcd	sepcnsldtfinstmtcd	sepindaudfinstmtcd	inclinfinstmtcd	operateschools170cd	frgnofficecd	frgnrevexpnscd	frgngrntscd	frgnaggragrntscd	rptprofndrsngfeescd	rptincfnndrsngcd	rptincgamingcd	operatehosptlcd	hospaudfinstmtcd	rptgrntstogovtcd	rptgrntstoindvcd	rptyestocompnstncd	txexmptbndcd	invstproceedscd	maintescrwaccntcd	actonbehalfcd	engageexcessbnftcd	awarexcessbnftcd	loantofficercd	grantoofficercd	dirbusnreltdcd	fmlybusnreltdcd	servasofficercd	recvnoncashcd	recvartcd	ceaseoperationscd	sellorexchcd	ownsepentcd	reltdorgcd	intincntrlcd	orgtrnsfrcd	conduct5percentcd	compltschocd	f1096cnt	fw2gcnt	wthldngrulescd	noemplyeesw3cnt	filerqrdrtnscd	unrelbusinccd	filedf990tcd	frgnacctcd	prohibtdtxshltrcd	prtynotifyorgcd	filedf8886tcd	solicitcntrbcd	exprstmntcd	providegoodscd	notfydnrvalcd	filedf8282cd	f8282cnt	fndsrcvdcd	premiumspaidcd	filedf8899cd	filedf1098ccd	excbushldngscd	s4966distribcd	distribtodonorcd	initiationfees	grsrcptspublicuse	grsincmembers	grsincother	filedlieuf1041cd	txexmptint	qualhlthplncd	qualhlthreqmntn	qualhlthonhnd	rcvdpdtngcd	filedf720cd	totreprtabled	totcomprelatede	totestcompf	noindiv100kcnt	nocontractor100kcnt	totcntrbgfts	prgmservcode2acd	totrev2acola	prgmservcode2bcd	totrev2bcola	prgmservcode2ccd	totrev2ccola	prgmservcode2dcd	totrev2dcola	prgmservcode2ecd	totrev2ecola	totrev2fcola	totprgmrevnue	invstmntinc	txexmptbndsproceeds	royaltsinc	grsrntsreal	grsrntsprsnl	rntlexpnsreal	rntlexpnsprsnl	rntlincreal	rntlincprsnl	netrntlinc	grsalesecur	grsalesothr	cstbasisecur	cstbasisothr	gnlsecur	gnlsothr	netgnls	grsincfndrsng	lessdirfndrsng	netincfndrsng	grsincgaming	lessdirgaming	netincgaming	grsalesinvent	lesscstofgoods	netincsales	miscrev11acd	miscrevtota	miscrev11bcd	miscrevtot11b	miscrev11ccd	miscrevtot11c	miscrevtot11d	miscrevtot11e	totrevenue	grntstogovt	grnsttoindiv	grntstofrgngovt	benifitsmembrs	compnsatncurrofcr	compnsatnandothr	othrsalwages	pensionplancontrb	othremplyeebenef	payrolltx	feesforsrvcmgmt	legalfees	accntingfees	feesforsrvclobby	profndraising	feesforsrvcinvstmgmt	feesforsrvcothr	advrtpromo	officexpns	infotech	royaltsexpns	occupancy	travel	travelofpublicoffcl	converconventmtng	interestamt	pymtoaffiliates	deprcatndepletn	insurance	othrexpnsa	othrexpnsb	othrexpnsc	othrexpnsd	othrexpnse	othrexpnsf	totfuncexpns	nonintcashend	svngstempinvend	pldgegrntrcvblend	accntsrcvblend	currfrmrcvblend	rcvbldisqualend	notesloansrcvblend	invntriesalesend	prepaidexpnsend	lndbldgsequipend	invstmntsend	invstmntsothrend	invstmntsprgmend	intangibleassetsend	othrassetsend	totassetsend	accntspayableend	grntspayableend	deferedrevnuend	txexmptbndsend	escrwaccntliabend	paybletoffcrsend	secrdmrtgsend	unsecurednotesend	othrliabend	totliabend	unrstrctnetasstsend	temprstrctnetasstsend	permrstrctnetasstsend	capitalstktrstend	paidinsurplusend	retainedearnend	totnetassetend	totnetliabastend	nonpfrea	totnooforgscnt	totsupport	gftgrntsrcvd170	txrevnuelevied170	srvcsval170	pubsuppsubtot170	exceeds2pct170	pubsupplesspct170	samepubsuppsubtot170	grsinc170	netincunreltd170	othrinc170	totsupp170	grsrcptsrelated170	totgftgrntrcvd509	grsrcptsadmissn509	grsrcptsactivities509	txrevnuelevied509	srvcsval509	pubsuppsubtot509	rcvdfrmdisqualsub509	exceeds1pct509	subtotpub509	pubsupplesub509	samepubsuppsubtot509	grsinc509	unreltxincls511tx509	subtotsuppinc509	netincunrelatd509	othrinc509	totsupp509
2716	Y	205582784	201609	3	Y	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	0	0	N	2	Y	N	N	N	N	N	N	N	N	N	N	N	0	N	N	N	N	N	N	N	0	0	0	0	N	0	N	0	0	N	N	0	0	0	0	0	432484	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	432503	0	0	0	0	0	0	18860	0	0	2001	0	2150	1102	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	234	875	500	195651	2142	0	3699	227263	180186	150018	0	0	0	0	0	0	0	0	0	0	0	0	0	330204	0	0	0	0	0	0	0	0	0	0	330204	0	0	0	0	0	330204	330204	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3975	Y	742623309	201608	3	Y	Y	N	N	N	N	N	N	N	N	Y	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	4	0	N	30	Y	N	N	N	N	N	N	N	N	N	N	N	0	N	N	N	N	N	N	N	0	0	0	0	N	0	N	0	0	N	N	62961	0	0	0	0	1046360	0	2081	0	0	0	0	0	0	0	0	0	2081	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18425	0	2000	0	0	0	20425	1068866	0	0	0	0	62961	0	520815	0	52375	43468	0	0	25940	0	0	0	0	0	995	0	0	0	29475	0	1534	0	0	6102	3041	107385	12415	10459	3013	0	9573	889551	410385	0	0	69062	0	0	0	0	15	35016	0	0	0	0	0	514478	35315	0	0	0	0	0	0	0	0	35315	183359	295804	0	0	0	0	479163	514478	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5073	Y	450274828	201606	3	Y	Y	N	N	N	N	N	N	N	N	Y	N	N	N	N	Y	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	Y	N	N	Y	36	0	Y	26	Y	N	N	N	N	N	N	N	N	N	N	N	0	N	N	N	N	N	N	N	0	0	0	0	N	0	N	0	0	N	N	518590	0	53466	3	0	2384361	541700	18526	541700	15042	541700	12817	541700	8300	541700	6183	0	60868	43334	0	0	393877	0	432504	0	-38627	0	-38627	11897	0	11597	0	300	0	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2450236	0	0	0	0	320044	0	885139	87067	144647	75648	0	0	25153	0	0	1714	91824	0	14323	27865	0	38677	18942	0	0	0	0	11261	37857	315673	94225	21248	17635	0	45024	2273966	141560	771355	940666	29510	0	0	0	0	30122	601752	494839	0	0	0	3691	3013495	781638	0	29961	0	0	0	0	0	0	811599	1441814	760082	0	0	0	0	2201896	3013495	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5887	Y	651026739	201606	3	Y	Y	N	N	N	N	N	N	N	N	Y	N	N	N	Y	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	Y	N	Y	0	0	N	214	Y	N	N	N	N	N	N	N	N	N	N	N	0	N	N	N	N	N	N	N	0	0	0	0	N	0	N	0	0	N	N	1266389	0	136091	8	2	11869852	561499	2267129	446199	1785975	446199	870899	0	0	0	0	0	4924003	9224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16803079	0	0	0	0	1272536	0	7164511	934332	1486919	615706	0	0	29750	0	0	0	2717963	0	36803	0	0	342708	58052	0	7249	0	0	136365	82660	1120981	479852	193624	173731	0	280594	17134336	0	4437240	2925219	526618	0	0	0	36759	638482	1529227	0	0	0	0	0	10093545	1494567	0	750396	0	0	0	0	0	6465541	8710504	978380	404661	0	0	0	0	1383041	10093545	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8471	Y	954815593	201512	3	Y	N	N	N	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	4	0	Y	5	Y	N	N	N	N	N	N	N	N	N	N	N	0	N	N	N	N	N	N	N	0	0	0	0	N	0	N	0	0	N	N	84138	0	24869	0	0	90	621500	14300	0	0	0	0	0	0	0	0	0	14300	654	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15044	0	0	0	0	109007	0	152675	0	13046	32132	0	0	53753	0	0	0	623	0	247	4553	0	0	373	0	0	0	0	12227	0	13264	6966	1071	707	0	1003	401647	44870	1102514	0	1431	49026	0	0	0	165	31265	0	0	0	0	8700	1237971	0	0	0	0	0	0	0	0	0	0	1237971	0	0	0	0	0	1237971	1237971	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9070	Y	263125599	201512	3	Y	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	N	N	N	N	Y	N	N	N	N	Y	2	0	N	2	Y	N	N	Y	N	N	N	N	N	N	N	N	0	N	N	N	N	N	N	N	0	0	0	0	N	0	N	0	0	N	N	64000	0	0	0	0	118256	541711	2000	541711	997	0	0	0	0	0	0	0	2997	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	541711	2773	0	0	0	0	0	2773	124068	0	0	0	0	64000	0	31200	0	0	8221	0	981	13895	0	0	0	1032	0	2252	555	0	2751	11519	0	837	0	0	0	1080	14400	2775	430	9155	0	0	165083	49533	0	0	0	0	0	0	0	410	0	0	0	0	0	0	49943	0	0	0	0	0	0	0	0	0	0	33943	16000	0	0	0	0	49943	49943	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12732	Y	237203666	201512	3	Y	Y	N	N	N	N	N	N	N	Y	Y	Y	N	N	Y	Y	N	Y	N	N	Y	N	N	N	N	N	N	N	N	N	Y	Y	N	N	N	N	N	Y	N	N	N	N	Y	N	N	N	N	Y	Y	N	N	Y	115	0	Y	503	Y	Y	Y	Y	N	N	N	N	N	N	N	N	0	N	N	N	N	N	N	N	0	0	0	0	N	0	N	0	0	N	N	6126023	0	494896	72	10	4780090	900099	34869467	900099	19377442	900099	1308607	900099	625856	0	0	0	56181372	3463828	0	0	1493332	0	1889876	0	-396544	0	-396544	31965059	1085567	28411239	0	3553820	1085567	4639387	0	0	0	0	0	0	0	0	0	900099	355705	900099	-2192279	0	0	0	-1836574	66831559	0	0	0	0	4430058	0	28777175	2640000	4886363	2091870	0	843614	168873	0	0	278850	8563712	0	8157646	573120	200000	2456781	1304125	0	0	5697341	0	6962180	978285	3187651	260230	204208	145139	0	78109	82885330	10496429	1380267	18762066	548394	1750000	0	19164976	0	1181017	101824877	42894183	61281019	0	1271496	5411137	265965861	5090369	0	10389296	109750000	0	0	0	0	8680124	133909789	113374303	13681769	5000000	0	0	0	132056072	265965861	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13365	Y	954291515	201512	3	Y	Y	N	N	N	N	N	N	N	N	Y	N	Y	Y	Y	Y	N	Y	N	N	N	N	N	N	N	N	N	N	Y	N	Y	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	Y	N	Y	N	N	N	Y	55	0	Y	103	Y	N	N	N	N	N	N	N	N	N	N	N	0	N	N	N	N	N	N	N	0	0	0	0	N	0	N	0	0	N	N	1797633	3923532	270586	14	3	9646890	900099	23251	900099	5870	0	0	0	0	0	0	0	29121	359	0	4656	0	0	0	0	0	0	0	0	75263	0	31657	0	43606	43606	0	0	0	0	0	0	0	0	0	900099	20000	900099	3704	9	438	20908	45050	9769682	134700	0	0	0	406633	0	6619133	226805	190898	385342	0	123060	0	0	0	0	3866191	138407	272445	17714	0	1625720	120254	0	125536	1156	0	334009	112722	552060	362420	37819	1120	0	28435	15682579	6855	0	870187	0	0	0	0	0	158311	807123	2864554	0	459972	0	2665571	7832573	1567851	0	1045586	0	0	0	0	0	10222869	12836306	-9962291	4958558	0	0	0	0	-5003733	7832573	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15965	Y	900808958	201512	3	Y	Y	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	11	0	Y	0	N	N	N	N	N	N	N	N	N	N	N	N	0	N	N	N	N	N	N	N	0	0	0	0	N	0	N	0	0	N	N	0	0	0	0	0	232972	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	232972	1250	0	0	0	0	0	0	0	0	0	0	1000	5818	0	0	0	211052	0	7260	0	0	0	15466	0	0	0	0	0	1721	18892	10228	5973	4155	0	3204	286019	85495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85495	0	0	0	0	0	0	0	0	6013	6013	0	0	0	0	0	79482	79482	85495	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17483	Y	232880381	201512	3	Y	Y	N	N	N	N	N	N	N	N	N	N	N	Y	Y	Y	Y	N	N	N	N	N	N	N	Y	N	N	N	Y	N	N	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	4	0	N	4	Y	N	N	N	N	N	N	N	N	N	N	N	0	N	N	N	N	N	N	N	0	0	0	0	N	0	N	0	0	N	N	0	0	0	0	0	86815	0	0	0	0	0	0	0	0	0	0	0	0	656	0	0	0	0	0	0	0	0	0	51611	0	26530	0	25081	0	25081	15855	24733	-8878	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103674	50000	0	0	0	0	0	87321	0	10314	0	0	0	0	0	0	0	17029	0	10921	0	0	29990	0	0	11051	0	0	0	0	17035	930	0	0	0	0	234591	32125	231405	0	0	0	0	0	0	0	0	113130	0	0	0	76036	452696	1037	0	0	0	0	50000	0	0	11171	62208	169039	221449	0	0	0	0	390488	452696	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
